date,venue_id,capacity_adults
2024-10-29,635f9a728ef3ac05540086d2,80
2024-11-21,635f9a728ef3ac05540086d2,80
2024-10-13,64ca21027586c968a13385e2,30
2024-10-13,64ca20d71792c11020139712,60
2024-11-30,635f9a728ef3ac05540086d2,80
2024-10-23,64ca21027586c968a13385e2,30
2024-10-23,64ca20d71792c11020139712,60
2024-12-13,64ca21027586c968a13385e2,30
2024-12-13,64ca20d71792c11020139712,60
2024-11-01,64ca21027586c968a13385e2,30
2024-11-01,64ca20d71792c11020139712,60
2024-11-11,635f9a728ef3ac05540086d2,80
2024-12-09,635f9a728ef3ac05540086d2,80
2024-12-30,64ca21027586c968a13385e2,30
2024-12-30,64ca20d71792c11020139712,60
2024-12-16,64ca21027586c968a13385e2,30
2024-12-16,64ca20d71792c11020139712,60
2024-12-18,64ca21027586c968a13385e2,30
2024-12-18,64ca20d71792c11020139712,60
2024-10-20,64ca21027586c968a13385e2,30
2024-10-20,64ca20d71792c11020139712,60
2024-11-06,64ca21027586c968a13385e2,30
2024-11-06,64ca20d71792c11020139712,60
2024-10-18,64ca21027586c968a13385e2,30
2024-10-18,64ca20d71792c11020139712,60
2024-10-28,64ca21027586c968a13385e2,30
2024-10-28,64ca20d71792c11020139712,60
2024-11-04,635f9a728ef3ac05540086d2,80
2024-12-01,64ca21027586c968a13385e2,30
2024-12-01,64ca20d71792c11020139712,60
2024-12-03,64ca21027586c968a13385e2,30
2024-12-03,64ca20d71792c11020139712,60
2024-12-12,64ca21027586c968a13385e2,30
2024-12-12,64ca20d71792c11020139712,60
2024-11-27,635f9a728ef3ac05540086d2,80
2024-12-28,64ca21027586c968a13385e2,30
2024-12-28,64ca20d71792c11020139712,60
2024-10-15,64ca21027586c968a13385e2,30
2024-10-15,64ca20d71792c11020139712,60
2024-10-07,635f9a728ef3ac05540086d2,80
2024-10-10,635f9a728ef3ac05540086d2,80
2024-10-31,635f9a728ef3ac05540086d2,80
2024-11-23,635f9a728ef3ac05540086d2,80
2024-12-29,635f9a728ef3ac05540086d2,80
2024-10-03,64ca21027586c968a13385e2,30
2024-10-03,64ca20d71792c11020139712,60
2024-10-19,64ca21027586c968a13385e2,30
2024-10-19,64ca20d71792c11020139712,60
2024-11-24,635f9a728ef3ac05540086d2,80
2024-12-10,635f9a728ef3ac05540086d2,80
2024-12-16,635f9a728ef3ac05540086d2,80
2024-12-27,64ca21027586c968a13385e2,30
2024-12-27,64ca20d71792c11020139712,60
2024-11-15,635f9a728ef3ac05540086d2,80
2024-11-25,64ca21027586c968a13385e2,30
2024-11-25,64ca20d71792c11020139712,60
2024-11-26,64ca21027586c968a13385e2,30
2024-11-26,64ca20d71792c11020139712,60
2024-12-11,64ca21027586c968a13385e2,30
2024-12-11,64ca20d71792c11020139712,60
2024-11-17,635f9a728ef3ac05540086d2,80
2024-10-08,64ca21027586c968a13385e2,30
2024-10-08,64ca20d71792c11020139712,60
2024-12-14,64ca21027586c968a13385e2,30
2024-12-14,64ca20d71792c11020139712,60
2024-10-11,64ca21027586c968a13385e2,30
2024-10-11,64ca20d71792c11020139712,60
2024-10-19,635f9a728ef3ac05540086d2,80
2024-10-04,64ca21027586c968a13385e2,30
2024-10-04,64ca20d71792c11020139712,60
2024-12-22,635f9a728ef3ac05540086d2,80
2024-11-08,64ca21027586c968a13385e2,30
2024-11-08,64ca20d71792c11020139712,60
2024-11-13,64ca21027586c968a13385e2,30
2024-11-13,64ca20d71792c11020139712,60
2024-12-22,64ca21027586c968a13385e2,30
2024-12-22,64ca20d71792c11020139712,60
2024-12-31,635f9a728ef3ac05540086d2,80
2024-10-06,64ca21027586c968a13385e2,30
2024-10-06,64ca20d71792c11020139712,60
2024-10-11,635f9a728ef3ac05540086d2,80
2024-11-25,635f9a728ef3ac05540086d2,80
2024-12-01,635f9a728ef3ac05540086d2,80
2024-12-17,64ca21027586c968a13385e2,30
2024-12-17,64ca20d71792c11020139712,60
2024-12-15,635f9a728ef3ac05540086d2,80
2024-11-17,64ca21027586c968a13385e2,30
2024-11-17,64ca20d71792c11020139712,60
2024-11-21,64ca21027586c968a13385e2,30
2024-11-21,64ca20d71792c11020139712,60
2024-12-25,635f9a728ef3ac05540086d2,80
2024-11-20,635f9a728ef3ac05540086d2,80
2024-12-17,635f9a728ef3ac05540086d2,80
2024-12-29,64ca21027586c968a13385e2,30
2024-12-29,64ca20d71792c11020139712,60
2024-11-15,64ca21027586c968a13385e2,30
2024-11-15,64ca20d71792c11020139712,60
2024-12-02,64ca21027586c968a13385e2,30
2024-12-02,64ca20d71792c11020139712,60
2024-12-20,635f9a728ef3ac05540086d2,80
2024-11-08,635f9a728ef3ac05540086d2,80
2024-12-21,64ca21027586c968a13385e2,30
2024-12-21,64ca20d71792c11020139712,60
2024-10-09,64ca21027586c968a13385e2,30
2024-10-09,64ca20d71792c11020139712,60
2024-11-11,64ca21027586c968a13385e2,30
2024-11-11,64ca20d71792c11020139712,60
2024-10-27,635f9a728ef3ac05540086d2,80
2024-11-02,635f9a728ef3ac05540086d2,80
2024-10-12,64ca21027586c968a13385e2,30
2024-10-12,64ca20d71792c11020139712,60
2024-10-30,64ca21027586c968a13385e2,30
2024-10-30,64ca20d71792c11020139712,60
2024-12-07,635f9a728ef3ac05540086d2,80
2024-11-12,64ca21027586c968a13385e2,30
2024-11-12,64ca20d71792c11020139712,60
2024-11-18,64ca21027586c968a13385e2,30
2024-11-18,64ca20d71792c11020139712,60
2024-10-05,64ca21027586c968a13385e2,30
2024-10-05,64ca20d71792c11020139712,60
2024-10-22,64ca21027586c968a13385e2,30
2024-10-22,64ca20d71792c11020139712,60
2024-12-11,635f9a728ef3ac05540086d2,80
2024-10-14,635f9a728ef3ac05540086d2,80
2024-11-14,635f9a728ef3ac05540086d2,80
2024-11-13,635f9a728ef3ac05540086d2,80
2024-12-24,635f9a728ef3ac05540086d2,80
2024-11-09,64ca21027586c968a13385e2,30
2024-11-09,64ca20d71792c11020139712,60
2024-10-05,635f9a728ef3ac05540086d2,80
2024-10-29,64ca21027586c968a13385e2,30
2024-10-29,64ca20d71792c11020139712,60
2024-11-05,64ca21027586c968a13385e2,30
2024-11-05,64ca20d71792c11020139712,60
